FCR,Self-Sufficiency,Region,Company,PV Size,Battery Capacity,Max Power,Energy Efficiency,Total PV production during period,Total electricity cost base case,Total electricity cost with PV,Total electricity cost with PV and battery,Electricity cost/kWh base case,Electricity cost/kWh with PV,Electricity cost/kWh with PV and battery,€ % drop/kWh,Savings from PV during period,Savings from battery during period,Savings from (PV and) battery during period,Savings from reduced power contract fee,Payback Time PV,Payback Time battery,Payback Time (PV and) battery,Total demand (kWh),Self-sufficiency (SSR only PV %),Self-sufficiency (SSR %),Self-consumption (%),Number of Cycles in period,Time below 20% SoC (%),Time above 80% SoC (%),€ saved per passed kWh,PV investment (EUR),CO2 avoided of the grid electricy mix [CO2eq],Battery investment (EUR),Total Investment (EUR),Battery Capacity Price (EUR/kWh),Battery Power Price (EUR/kWh),PV Price (EUR/kW),Total FCR revenue (EUR),FCR% of saving,peak% of saving,start_time,end_time,demand_data_used:,length of simulation,%time_SoC_20%-80%,config_id,year_offset,ss_cost_import,ss_cost_export,enable_all
On,Import 5000.0 and export 0.0,SE3,039. Godestadsvagen,1,0,25,0.7224999999999999,13.722620000000012,2688.7491846200346,2416.0469985200343,2416.0469985200007,0.0418100245769952,0.037569508143457886,0.03756950814345736,10.142343795394634,272.7021861000002,6.079999999866061,278.78218609986635,6.07999999983241,0.0,0.0,0.0,64308.72049999807,10.632711157734857,10.632711157734857,49.828389185154236,,0.0,0.0,0.0,0,0.0,0,0,400,0,0,0.0,0.0,99.99999999944653,2024-01-01 00:00:00,2024-12-31 23:00:00,2024-01-01 00:00:00 to 2024-12-31 23:00:00,1.0027397260273974,100.0,yo0_ic5000_0_ec0_0_eaTrue,0,5000.0,0.0,True
On,Import 5000.0 and export 0.0,SE3,039. Godestadsvagen,1,150,25,0.7224999999999999,13.722620000000012,2688.7491846200346,2416.0469985200343,2243.3827897898045,0.0418100245769952,0.037569508143457886,0.03488458131879442,16.56407363608993,272.7021861000002,7398.569760067854,7671.271946167854,459.8885851998324,0.0,8.13189380011902,7.842817199525649,64308.72049999807,10.632711157734857,19.995053447862933,93.70341112419777,57.794304340533344,13.171675774134792,9.426229508196721,0.853306120603333,0,137.72585800211493,60000,60000,400,0,0,6766.016966137792,91.45033682936767,6.215911995342389,2024-01-01 00:00:00,2024-12-31 23:00:00,2024-01-01 00:00:00 to 2024-12-31 23:00:00,1.0027397260273974,77.40209471766848,yo0_ic5000_0_ec0_0_eaTrue,0,5000.0,0.0,True
