FCR,Self-Sufficiency,PV Size,Battery Capacity,Max Power,Energy Efficiency,Total PV production during period,Total electricity cost base case,Total electricity cost with PV,Total electricity cost with PV and battery,Electricity cost/kWh base case,Electricity cost/kWh with PV,Electricity cost/kWh with PV and battery,€ % drop/kWh,Savings from PV during period,Savings from battery during period,Savings from (PV and) battery during period,Savings from reduced power contract fee,Payback Time PV,Payback Time battery,Payback Time (PV and) battery,Total demand (kWh),Self-sufficiency (SSR only PV %),Self-sufficiency (SSR %),Self-consumption (%),Number of Cycles in period,Time below 20% SoC (%),Time above 80% SoC (%),€ saved per passed kWh,PV investment (EUR),CO2 avoided of the grid electricy mix [CO2eq],Battery investment (EUR),Total Investment (EUR),Battery Capacity Price (EUR/kWh),Battery Power Price (EUR/kWh),PV Price (EUR/kW),Total FCR revenue (EUR),FCR% of saving,peak% of saving,start_time,end_time,demand_data_used:,length of simulation,%time_SoC_20%-80%,config_id,year_offset,ss_cost_import,ss_cost_export,enable_all
Off,Import 5000.0 and export 0.0,1,0,25,0.7224999999999999,73.96388,2479.03415585,575.46465625,575.46465625,0.03390338728807341,0.00787008160633923,0.00787008160633923,76.78673950933576,1903.5694996,466.64,2370.2094996,466.64,0.0,0.0,0.0,73120.545,59.17642572275685,59.17642572275685,58.501697044557424,,0.0,0.0,0.0,0,0.0,0,0,400,0,0,0.0,0.0,100.0,2024-01-01 00:00:00,2024-11-24 22:00:00,2024-01-01 00:00:00 to 2024-11-24 22:00:00,0.9013698630136986,100.0,yom1_ic5000_0_ec0_0_eaFalse,-1,5000.0,0.0,False
Off,Import 5000.0 and export 0.0,1,150,25,0.7224999999999999,73.96388,2479.03415585,575.46465625,487.17758982848744,0.03390338728807341,0.00787008160633923,0.0066626635486440565,80.34808884424402,1903.5694996,960.1078984215126,2863.6773980215125,871.820832,0.0,56.32928535400759,18.885574128631525,73120.545,59.17642572275685,77.9865814872279,77.09737970794681,81.57734678513333,31.81760607979734,12.615579480683978,0.07846196983666245,0,314.6247723863019,60000,60000,400,0,0,0.0,0.0,90.80446410589236,2024-01-01 00:00:00,2024-11-24 22:00:00,2024-01-01 00:00:00 to 2024-11-24 22:00:00,0.9013698630136986,55.56681443951869,yom1_ic5000_0_ec0_0_eaFalse,-1,5000.0,0.0,False
